,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
20176,less wealthy,11385,Other,2/13/2019,10H,N,1,2/13/2019,40.70583199,-73.91528043,405,34,54500,4081839,4034290003,QN20
20177,less wealthy,11238,Sandwiches,3/19/2019,04L,Y,1,3/19/2019,40.67732561,-73.96366291,308,35,20500,3028590,3011540011,BK64
20178,less wealthy,11385,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/18/2020,02B,Y,1,1/18/2020,40.70128595,-73.88877101,405,30,57700,4089295,4036770028,QN19
20179,less wealthy,11414,Chinese,10/8/2019,02B,Y,1,10/8/2019,40.66613002,-73.851677,410,32,6202,4246916,4114290034,QN57
20180,less wealthy,11377,Chinese,9/12/2019,08A,N,0,9/12/2019,40.7457495,-73.90193772,402,26,26100,4028382,4012320054,QN63
20181,less wealthy,11385,Café/Coffee/Tea,6/26/2019,10F,N,1,6/26/2019,40.701676,-73.89489068,405,30,58300,4085329,4035380023,QN20
20182,less wealthy,11216,Spanish,6/29/2019,10H,N,1,6/29/2019,40.67590688,-73.94994247,308,36,31500,3030663,3012190035,BK61
20183,less wealthy,11368,Chinese,12/19/2019,04N,Y,1,12/19/2019,40.75764402,-73.86547045,403,21,36500,4042052,4016980045,QN27
20184,wealthier,10002,Pizza,5/24/2019,02G,Y,1,5/24/2019,40.72278693,-73.98820644,103,1,3001,1077625,1004170053,MN27
20185,wealthier,10029,Bakery,4/11/2019,06D,Y,1,4/11/2019,40.79750836,-73.93901539,111,8,18800,1052539,1016650031,MN34
20186,less wealthy,10469,Pizza,7/10/2019,10I,N,1,7/10/2019,40.86191913,-73.84331758,211,13,31200,2052925,2044780032,BX31
20187,less wealthy,10451,African,7/22/2019,10B,N,1,7/22/2019,40.82432151,-73.9094743,203,17,18500,2113088,2023680048,BX35
20188,less wealthy,11421,Chinese,4/10/2019,10F,N,1,4/10/2019,40.69425942,-73.85026187,409,32,2000,4184382,4089360006,QN53
20189,less wealthy,11385,American,4/3/2019,10F,N,1,4/3/2019,40.69979685,-73.90892275,405,34,55300,4312143,4035440027,QN20
20190,less wealthy,11372,Bakery,2/4/2019,10H,N,1,2/4/2019,40.747251299999995,-73.88743803,404,25,26700,4036807,4014897501,QN29
20191,less wealthy,11105,Mediterranean,3/27/2019,06D,Y,1,3/27/2019,40.77527561,-73.90951234,401,22,11700,4017009,4008320055,QN72
20192,less wealthy,11435,Chinese,1/7/2020,02G,Y,1,1/7/2020,40.69137936,-73.79788042,412,28,19600,4258309,4119470285,QN01
20193,less wealthy,11354,Korean,5/13/2019,08A,N,1,5/13/2019,40.758502,-73.83324181,407,20,87100,4112276,4049730016,QN22
20194,less wealthy,11214,Chinese,6/26/2019,10I,N,1,6/26/2019,40.60428174,-73.99770239,311,47,28800,3165871,3063460070,BK28
20195,less wealthy,11368,Pizza,12/12/2019,04M,Y,1,12/12/2019,40.74898602,-73.86933894,404,21,46500,4039789,4015940032,QN29
20196,wealthier,10009,"Bottled beverages, including water, sodas, juices, etc.",7/9/2019,04A,Y,1,7/9/2019,40.72402348,-73.97888376,103,2,2602,1004469,1003760007,MN28
20197,less wealthy,11379,"Juice, Smoothies, Fruit Salads",9/21/2019,10B,N,1,9/21/2019,40.7132529,-73.87268458,405,30,62100,4437889,4037800023,QN21
20198,less wealthy,11223,Jewish/Kosher,11/6/2019,04L,Y,1,11/6/2019,40.60679567,-73.96355739,315,44,41800,3177594,3066660050,BK25
20199,less wealthy,11366,"Juice, Smoothies, Fruit Salads",10/8/2019,06C,Y,1,10/8/2019,40.72925091,-73.78095517,408,23,127700,4156312,4072660001,QN06
20200,less wealthy,11223,Russian,11/21/2019,08A,N,0,11/21/2019,40.59040605,-73.9714911,315,47,38600,3194484,3071740093,BK26
20201,less wealthy,11427,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/1/2019,10B,N,1,4/1/2019,40.71885931,-73.75780768,412,23,48400,4223433,4104920104,QN07
20202,less wealthy,11101,Café/Coffee/Tea,6/3/2019,10B,N,1,6/3/2019,40.75015959,-73.94094651,402,26,1900,4005057,4004230005,QN31
20203,wealthier,10025,Italian,9/30/2019,08A,N,0,9/30/2019,40.79874396,-73.96695537,107,7,19100,1056565,1018750029,MN12
20204,wealthier,10025,Italian,7/10/2019,08C,N,1,7/10/2019,40.80107531,-73.96153628,107,7,19300,1079465,1018630029,MN09
20205,less wealthy,11217,Chinese,9/23/2019,10F,N,1,9/23/2019,40.68600734,-73.97372527,302,35,18100,3335283,3021150008,BK68
20206,less wealthy,11385,Chinese,11/21/2019,04L,Y,1,11/21/2019,40.69994079,-73.89735664,405,34,55700,4086738,4035890029,QN20
20207,less wealthy,11421,Bakery,8/8/2019,02G,Y,1,8/8/2019,40.69427033,-73.85021136,409,32,2000,4184386,4089360010,QN53
20208,wealthier,10001,Asian,5/22/2019,02G,Y,1,5/22/2019,40.75398451,-73.99983036,104,3,9900,1088961,1007027501,MN13
20209,less wealthy,10462,Mexican,4/25/2019,06E,Y,1,4/25/2019,40.85540631,-73.86767587,211,13,22401,2049380,2043170064,BX49
20210,less wealthy,11230,"Ice Cream, Gelato, Yogurt, Ices",4/10/2019,10F,N,1,4/10/2019,40.63214198,-73.96674276,314,40,46000,3170227,3064980001,BK42
20211,wealthier,10036,French,4/18/2019,06D,Y,1,4/18/2019,40.75928635,-73.98454334,105,4,12500,1083718,1010000001,MN17
20212,less wealthy,11221,Not Listed/Not Applicable,9/19/2019,10H,N,0,9/19/2019,40.69595454,-73.93340718,304,34,39300,3072663,3031940004,BK78
20213,less wealthy,11213,Caribbean,1/15/2020,04L,Y,0,1/15/2020,40.66698454,-73.93065341,309,41,34900,3037787,3014030001,BK61
20214,less wealthy,11237,Mexican,1/2/2020,04L,Y,0,1/2/2020,40.70228881,-73.92354403,304,34,42900,3073206,3032200008,BK77
20215,wealthier,10003,Scandinavian,3/28/2019,02B,Y,1,3/28/2019,40.73789429,-73.99010905,105,2,5200,1080750,1008470016,MN13
20216,less wealthy,11435,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/7/2019,10F,N,1,3/7/2019,40.7019458,-73.80525256,412,24,24000,4206832,4096790086,QN61
20217,less wealthy,11354,Other,3/19/2019,06A,Y,1,3/19/2019,40.76297115,-73.83182633,407,20,86900,4308806,4049777502,QN22
20218,less wealthy,11372,Spanish,8/5/2019,08A,N,1,8/5/2019,40.75547882,-73.88614632,403,25,32700,4026956,4011770044,QN28
20219,less wealthy,11205,Jewish/Kosher,5/2/2019,09C,N,1,5/2/2019,40.6962353,-73.95835858,303,33,123700,3334783,3018990029,BK75
20220,less wealthy,11226,Mexican,9/16/2019,10F,N,1,9/16/2019,40.64019679,-73.95535617,314,40,51601,3120291,3052090007,BK42
20221,less wealthy,11222,Middle Eastern,2/26/2019,10F,N,1,2/26/2019,40.72909249,-73.95033173,301,33,57300,3065413,3026000012,BK76
20222,less wealthy,10461,Pizza,7/8/2019,02D,Y,1,7/8/2019,40.84047229,-73.84170579,210,13,9600,2128715,2038590011,BX59
20223,wealthier,10029,Café/Coffee/Tea,4/12/2019,02G,Y,1,4/12/2019,40.78759306,-73.94758672,111,5,16600,1051773,1016270039,MN33
20224,less wealthy,10455,Chinese,4/22/2019,06C,Y,1,4/22/2019,40.81174314,-73.90370057,202,8,8300,2096003,2026030051,BX33
20225,wealthier,10036,Other,2/28/2019,06C,Y,1,2/28/2019,40.76185046,-73.98894312,104,3,12700,1025125,1010390001,MN15
20226,wealthier,10029,Thai,4/16/2019,10F,N,1,4/16/2019,40.78921024,-73.94872662,111,8,16600,1051842,1016290014,MN33
20227,wealthier,10027,Mexican,11/26/2019,04L,Y,0,11/26/2019,40.812186499999996,-73.95522591,109,7,20901,1059544,1019660052,MN09
20228,wealthier,10002,Mediterranean,9/25/2019,04N,Y,0,9/25/2019,40.72257289,-73.98877649,103,1,3001,1090382,1004170050,MN27
20229,wealthier,10031,Chinese,11/13/2019,06B,Y,1,11/13/2019,40.82316176,-73.95281936,109,7,22500,1061751,1020710061,MN04
20230,less wealthy,11204,Chinese,5/6/2019,04L,Y,1,5/6/2019,40.6189687,-73.99032486,311,47,25200,3133886,3055540005,BK28
20231,less wealthy,11232,"Bottled beverages, including water, sodas, juices, etc.",4/25/2019,06C,Y,1,4/25/2019,40.66029728,-74.0007497,307,38,10100,3009670,3006570071,BK32
20232,less wealthy,11217,Greek,6/17/2019,02G,Y,1,6/17/2019,40.68388992,-73.98168003,302,33,3900,3335918,3001970028,BK38
20233,less wealthy,10465,American,4/18/2019,10B,N,1,4/18/2019,40.82890849,-73.82456216,210,13,16200,2076682,2054270050,BX52
20234,less wealthy,10457,Other,4/12/2019,10B,N,1,4/12/2019,40.84904529,-73.9050452,205,15,23502,2092048,2028090056,BX41
20235,wealthier,10012,Japanese,3/19/2019,04A,Y,1,3/19/2019,40.72527424,-74.00345991,102,3,4700,1086100,1004907501,MN24
20236,wealthier,10002,Chinese,3/28/2019,10B,N,1,3/28/2019,40.71602689,-73.99198091,103,1,1600,1003861,1002990018,MN27
20237,less wealthy,11229,Jewish/Kosher,7/10/2019,06D,Y,1,7/10/2019,40.61197827,-73.94420989,315,45,64200,3211313,3076900205,BK44
20238,wealthier,10022,Pizza,4/3/2019,02B,Y,1,4/3/2019,40.75602755,-73.96766606,106,4,9800,1080463,1013440049,MN19
20239,wealthier,10003,Japanese,7/10/2019,10F,N,1,7/10/2019,40.72532844,-73.98695046,103,2,3800,1006218,1004460036,MN22
20240,wealthier,10039,Café/Coffee/Tea,11/27/2019,08A,N,1,11/27/2019,40.82615515,-73.93879392,110,9,23600,1060586,1020360001,MN03
20241,less wealthy,10468,Spanish,3/8/2019,10B,N,1,3/8/2019,40.86782254,-73.89923333,207,14,26500,2014456,2032050021,BX30
20242,less wealthy,11201,Chicken,4/2/2019,06B,Y,1,4/2/2019,40.69217152,-73.98605907,302,33,1100,3000408,3001520026,BK38
20243,less wealthy,11375,Chinese,9/23/2019,10F,N,1,9/23/2019,40.71595545,-73.83331981,406,29,75701,4052806,4022680023,QN17
20244,wealthier,10036,Thai,6/6/2019,08A,N,0,6/6/2019,40.76107385,-73.99068316,104,3,12700,1025038,1010370001,MN15
20245,wealthier,10003,Bakery,1/10/2020,10F,N,1,1/10/2020,40.73495762,-73.9932668,102,2,6100,1009402,1005710031,MN23
20246,less wealthy,11354,Chinese,2/28/2019,10F,N,1,2/28/2019,40.75886249,-73.83013298,407,20,87100,4534330,4050367501,QN22
20247,less wealthy,10466,Caribbean,5/9/2019,09B,N,1,5/9/2019,40.87915859,-73.84317192,212,12,46000,2065574,2048880002,BX03
20248,less wealthy,11378,Pizza/Italian,4/12/2019,02G,Y,1,4/12/2019,40.72655679,-73.89428485,405,30,49302,4058569,4025010044,QN30
20249,less wealthy,11215,Middle Eastern,1/8/2020,02B,Y,1,1/8/2020,40.66384742,-73.98078803,306,39,16700,3026405,3010990009,BK37
20250,wealthier,10005,American,4/26/2019,06C,Y,1,4/26/2019,40.70695817,-74.00807209999999,101,1,700,1001009,1000417503,MN25
20251,less wealthy,11419,Italian,4/2/2019,06C,Y,1,4/2/2019,40.6859575,-73.82574378,410,28,10600,4203658,4095550033,QN55
20252,less wealthy,11207,American,11/20/2019,04H,Y,1,11/20/2019,40.691269500000004,-73.90976021,304,37,41300,3078846,3034110037,BK78
20253,less wealthy,11413,Caribbean,4/9/2019,10D,N,1,4/9/2019,40.67693875,-73.74291592,413,31,63200,4438931,4129660020,QN66
20254,less wealthy,11434,Caribbean,3/6/2019,09C,N,1,3/6/2019,40.68572827,-73.79349507,412,28,19000,4536722,4119800011,QN76
20255,less wealthy,11217,Café/Coffee/Tea,4/22/2019,10I,N,1,4/22/2019,40.68678236,-73.97850978,302,35,3300,3000000,3021077502,BK68
20256,wealthier,10004,American,2/20/2019,06C,Y,1,2/20/2019,40.70400995,-74.01192007,101,1,900,1000025,1000100016,MN25
20257,less wealthy,11219,Mexican,5/16/2019,06E,Y,1,5/16/2019,40.6210963,-73.99844386,311,43,19000,3134832,3055730010,BK28
20258,less wealthy,11205,Sandwiches/Salads/Mixed Buffet,10/3/2019,10F,N,1,10/3/2019,40.69364612,-73.96391722,302,35,19100,3332262,3018930061,BK69
20259,less wealthy,11209,Italian,1/7/2020,09C,N,1,1/7/2020,40.62844042,-74.02903317,310,43,6400,3150823,3059780040,BK31
20260,less wealthy,11219,Mexican,2/5/2019,04N,Y,1,2/5/2019,40.62752729,-73.99659921,312,44,19200,3141315,3057190041,BK88
20261,less wealthy,11209,Tex-Mex,3/26/2019,10F,N,1,3/26/2019,40.62980472,-74.02847896,310,43,6400,3149758,3059590048,BK31
20262,less wealthy,11377,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/2/2019,02H,Y,1,8/2/2019,40.75725488,-73.90776462,401,22,16300,4014149,4007530001,QN70
20263,less wealthy,11237,Indian,11/12/2019,10F,N,1,11/12/2019,40.70580633,-73.92165364,304,34,44700,3072773,3031990037,BK77
20264,less wealthy,11207,Chinese,2/11/2019,06C,Y,1,2/11/2019,40.65341506,-73.88676446,305,42,110400,3098070,3044130001,BK82
20265,less wealthy,11211,Café/Coffee/Tea,11/12/2019,08A,N,1,11/12/2019,40.71141164,-73.9463447,301,34,50300,3069393,3027810034,BK90
20266,less wealthy,11207,Soul Food,6/5/2019,10F,N,1,6/5/2019,40.66919843,-73.89639479,305,42,115600,3084052,3037530037,BK85
