,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
12155,EXPRESSWAY BUBBLE TEA & SNACKS,Queens,11355,Chinese,11/9/2018,06D,Y,1,11/9/2018,40.75734855,-73.82907564,407,20,84900,4312192,4050420035,QN22
12156,DUNKIN',Queens,11419,Donuts,5/10/2019,10F,N,1,5/10/2019,40.68706619,-73.82203775,410,28,15802,4203808,4095590034,QN55
12157,SUBWAY CAFE,Manhattan,10036,Sandwiches,1/17/2020,02G,Y,1,1/17/2020,40.75784057,-73.99122867,104,3,12100,1024937,1010330006,MN15
12158,PINGS,Manhattan,10013,Seafood,8/6/2019,06F,Y,1,8/6/2019,40.71430894,-73.9987555,103,1,2900,1001689,1001620012,MN27
12159,NEW STAR BAKERY,Queens,11355,Bakery,11/26/2019,02H,Y,0,11/26/2019,40.75816629,-73.82893637,407,20,85300,4309526,4050447501,QN22
12160,DUNKIN',Staten Island,10314,Donuts,9/9/2019,10I,N,1,9/9/2019,40.6080781,-74.16226091,502,50,29103,5037014,5022360125,SI05
12161,FUEL FEVER,Brooklyn,11214,American,9/17/2019,06C,Y,1,9/17/2019,40.60680417,-74.00310081,311,47,27800,3166602,3063690039,BK28
12162,IL MULINO PRIME,Manhattan,10013,Italian,8/26/2019,04L,Y,1,8/26/2019,40.72217264,-74.00392514,102,1,4700,1002962,1002280022,MN24
12163,L & L LOCAL,Queens,11103,American,9/13/2019,10F,N,1,9/13/2019,40.76086519,-73.91615592,401,22,15500,4011191,4006790039,QN70
12164,MAX FISH,Manhattan,10002,American,4/16/2019,10F,N,1,4/16/2019,40.71944118,-73.98954181,103,1,1800,1005302,1004100001,MN27
12165,SNOWDAYS SHAVERY,Manhattan,10003,"Ice Cream, Gelato, Yogurt, Ices",2/5/2019,06A,Y,1,2/5/2019,40.72895402,-73.98486431,103,2,4000,1006455,1004520037,MN22
12166,CAPRI IV DELI,Bronx,10475,Delicatessen,10/9/2019,04L,Y,0,10/9/2019,40.86951917,-73.82787143,210,12,46201,2097466,2051410100,BX13
12167,CARVEL ICE CREAM,Queens,11375,"Ice Cream, Gelato, Yogurt, Ices",10/2/2019,08A,N,1,10/2/2019,40.71019967,-73.84919071,406,29,73100,4077530,4032400044,QN17
12168,SICHUAN HOT POT CUISINE,Manhattan,10013,Chinese,10/3/2019,08A,N,1,10/3/2019,40.71487161,-73.9982613,103,1,2900,1001784,1001630013,MN27
12169,MEI MEI Chinese Restaurant,Bronx,10468,Chinese,3/28/2019,10F,N,1,3/28/2019,40.86980538,-73.89144569,207,14,40303,2017462,2033150051,BX28
12170,PEKING EXPRESS,Queens,11420,Chinese/Japanese,12/31/2019,02G,Y,0,,40.67458395,-73.8041539,410,28,81400,4255141,4117580047,QN55
12171,K RICO,Manhattan,10019,American,9/10/2019,06E,Y,0,,40.7644387,-73.98823513,104,3,13300,1025223,1010420064,MN15
12172,NEW YORK SHAKE & BURGER,Queens,11435,American,9/16/2019,02G,Y,1,9/16/2019,40.69619962,-73.804458,412,28,20800,4214603,4100310020,QN61
12173,SBARRO,Bronx,10475,Pizza/Italian,6/6/2019,06D,Y,1,6/6/2019,40.86590541,-73.83042975,210,12,46201,2120098,2051410006,BX13
12174,CASA DEL CHEF BISTRO,Queens,11377,American,4/5/2019,04C,Y,1,4/5/2019,40.74623359,-73.89993042,402,26,26100,4028409,4012330066,QN63
12175,THE BREW INN,Brooklyn,11222,Polish,6/11/2019,02H,Y,1,6/11/2019,40.73102362,-73.95408997,301,33,57500,3064606,3025510001,BK76
12176,SUN HING,Brooklyn,11212,Chinese,6/24/2019,09C,N,1,6/24/2019,40.658312,-73.91571225,317,41,89000,3101973,3046720031,BK96
12177,SWEATSHOP,Brooklyn,11211,Café/Coffee/Tea,7/25/2019,06A,Y,1,7/25/2019,40.71511713,-73.95989426,301,34,55300,3062461,3023660013,BK73
12178,SSAM,Brooklyn,11201,Korean,3/13/2019,04H,Y,1,3/13/2019,40.68585629,-73.99106149,302,33,6900,3006060,3003900042,BK38
12179,ERV'S,Brooklyn,11225,American,3/22/2019,06D,Y,1,3/22/2019,40.66000238,-73.96082499,309,40,79802,3114599,3050260095,BK60
12180,VANILLA CAFE,Queens,11368,Spanish,12/24/2019,06D,Y,1,12/24/2019,40.75231656,-73.86793919,403,21,40700,4043962,4017620009,QN26
12181,SKYTOWN,Brooklyn,11206,American,4/17/2019,06D,Y,1,4/17/2019,40.69749592,-73.93616447,304,34,38900,3071867,3031500002,BK78
12182,BAGEL ROAD,Brooklyn,11235,Bagels/Pretzels,1/16/2020,06F,Y,0,,40.58745541,-73.95450948,315,48,60600,3204917,3074590016,BK17
12183,CAFFE BENE,Manhattan,10001,Café/Coffee/Tea,4/12/2019,04H,Y,1,4/12/2019,40.74764608,-73.98665013,105,4,7600,1015844,1008340019,MN17
12184,EL PALACIO DE LAS EMPANADAS,Queens,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/30/2019,10B,N,1,10/30/2019,40.7425757,-73.85458083,404,21,43900,4047905,4019440128,QN25
12185,BIBBLE AND SIP,Manhattan,10019,Bakery,12/20/2019,06A,Y,1,12/20/2019,40.762484,-73.98461841,105,3,13100,1082805,1010230104,MN17
12186,J + B CAFE,Brooklyn,11215,Café/Coffee/Tea,8/6/2019,06F,Y,1,8/6/2019,40.67079248,-73.9861717,306,39,13700,3021852,3009980029,BK37
12187,NEW MAMA'S FRIED CHICKEN & PIZZA,Bronx,10455,Chicken,1/30/2019,10F,N,1,1/30/2019,40.81586514,-73.89668582,202,8,8500,2005733,2027200079,BX33
12188,XIUN WEI CHINESE RESTAURANT,Bronx,10461,Chinese,8/30/2019,10F,N,1,8/30/2019,40.84018254,-73.84257025,210,13,9600,2128715,2038590011,BX59
12189,OLIGARCH,Queens,11418,Jewish/Kosher,3/18/2019,05D,Y,0,,40.70084522,-73.83128038,409,29,14400,4193700,4092730089,QN54
12190,XIAO WEI MALA YABU,Queens,11354,Chinese,5/22/2019,22G,,1,5/22/2019,40.76002356,-73.82831432,407,20,87100,4112510,4049800061,QN22
12191,HAPPY KITCHEN INC,Queens,11428,Chinese,2/7/2019,10F,N,1,2/7/2019,40.7173484,-73.73968232,413,23,56600,4226337,4106080055,QN34
12192,RED LOBSTER,Brooklyn,11239,Seafood,12/17/2019,10F,N,1,12/17/2019,40.6509838,-73.86929376,305,42,107000,3348836,3044520550,BK82
12193,RED LOBSTER,Queens,11373,Seafood,12/18/2019,08A,N,0,12/18/2019,40.73514255,-73.87528392,404,25,47300,4437281,4018437501,QN29
12194,RED LOBSTER,Manhattan,10027,Seafood,1/6/2020,10F,N,1,1/6/2020,40.80982675,-73.95033627,110,9,22200,1089941,1019310006,MN11
12195,RED LOBSTER,Manhattan,10036,Seafood,1/9/2020,04N,Y,1,1/9/2020,40.75570202,-73.98720798,105,3,11300,1024656,1010130029,MN17
12196,BURGER KING,Brooklyn,11216,Hamburgers,10/21/2019,04N,Y,1,10/21/2019,40.68036955,-73.94917116,303,36,24900,3053258,3018490055,BK75
12197,DUNKIN',Brooklyn,11211,Donuts,4/17/2019,06E,Y,1,4/17/2019,40.7087434,-73.95884488,301,33,52500,3059652,3021410006,BK73
12198,SUBWAY,Bronx,10466,Sandwiches/Salads/Mixed Buffet,3/14/2019,10F,N,1,3/14/2019,40.88794192,-73.860363,212,12,40600,2063436,2048390044,BX44
12199,DELI AND PIZZA,Brooklyn,11223,American,8/15/2019,10F,N,1,8/15/2019,40.5860611,-73.97165498,313,47,37402,3195689,3072130040,BK26
12200,OLIVE GARDEN,Bronx,10475,Italian,8/19/2019,02G,Y,1,8/19/2019,40.86590541,-73.83042975,210,12,46201,2120098,2051410006,BX13
12201,NOCCIOLA RISTORANTE,Manhattan,10029,Italian,11/20/2019,10F,N,0,,40.7975633,-73.93910203,111,8,18800,1052602,1016660116,MN34
12202,EVERGREEN ON 38,Manhattan,10016,Chinese,7/9/2019,10F,N,1,7/9/2019,40.75063449,-73.98199004,105,4,8200,1017223,1008670064,MN20
12203,HANCO'S,Brooklyn,11201,Vietnamese/Cambodian/Malaysia,10/4/2019,02B,Y,1,10/4/2019,40.69457386,-73.99350169,302,33,502,3339099,3002430013,BK09
12204,POLLO SABROSO RESTAURANT,Bronx,10458,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/9/2019,04A,Y,0,,40.86975216,-73.89031407,207,15,40302,2017147,2033040128,BX05
12205,DADDY'S PIZZA & PASTA,Brooklyn,11223,Pizza,9/17/2019,02H,Y,1,9/17/2019,40.59630985,-73.9845236,311,47,40200,3397177,3070920024,BK29
12206,BABA'S PIEROGIES,Brooklyn,11215,Eastern European,5/18/2019,,,1,,40.67686945,-73.98647328,306,39,11900,3338585,3004540013,BK37
12207,LA POTENCIA RESTAURANT,Bronx,10453,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/25/2019,06C,Y,0,,40.85014763,-73.91058847,205,14,23301,2008233,2028520009,BX41
12208,COTENNA,Manhattan,10014,Italian,7/22/2019,10B,N,1,7/22/2019,40.72911691,-74.00353949,102,3,6700,1008398,1005280041,MN23
12209,GNOCCHERIA BY LUZZO'S,Manhattan,10009,Italian,5/29/2019,10H,N,1,5/29/2019,40.72338735,-73.98281278,103,2,3200,1004992,1003990026,MN22
12210,SAMURAI PAPA,Brooklyn,11206,Japanese,2/22/2019,06B,Y,1,2/22/2019,40.7029372,-73.94357084,301,34,49100,3071556,3031130008,BK90
12211,CHICKEN SHACK,Queens,11106,Chicken,10/31/2019,02I,Y,0,10/31/2019,40.75991344,-73.92099054,401,22,6100,4009833,4006490001,QN70
12212,SUGARDADDY'S,Queens,11101,American,12/18/2019,10F,N,1,12/18/2019,40.73967279,-73.94279263,402,26,100,4000769,4001120001,QN31
12213,EL GRAN VALLE IV RESTAURANT,Manhattan,10032,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/15/2019,04L,Y,1,2/15/2019,40.83242599,-73.94236927,112,7,24100,1062717,1021150038,MN36
12214,AINSWORTH MIDTOWN,Manhattan,10016,American,1/2/2020,04N,Y,0,,40.74688804,-73.98294383,105,2,7400,1080794,1008637501,MN17
12215,Q'KACHAPA,Manhattan,10040,Spanish,6/13/2019,10F,N,1,6/13/2019,40.85340855,-73.93072218,112,10,26900,1063808,1021580007,MN35
12216,HUNGRY BIRD,Bronx,10456,Indian,9/20/2019,08A,N,0,9/20/2019,40.82842775,-73.91686903,204,16,17300,2002178,2024320001,BX14
12217,REUNION,Brooklyn,11211,Café/Coffee/Tea,1/11/2020,06E,Y,1,1/11/2020,40.71731526,-73.95167167,301,33,51500,3413895,3027360001,BK73
12218,CHADBOURNE & PARKE EMPLOYEE CAFETERIA,Manhattan,10019,American,1/9/2019,06C,Y,1,1/9/2019,40.76123707,-73.9794567,105,4,13100,1023161,1010050029,MN17
12219,NYU - TORCH CLUB,Manhattan,10003,American,4/8/2019,02G,Y,1,4/8/2019,40.73019278,-73.99453734,102,1,5900,1008825,1005470014,MN23
12220,CAFE 55,Manhattan,10041,American,1/17/2020,10F,N,0,,40.7035902,-74.00978125,101,1,900,1083346,1000327501,MN25
12221,"DUNKIN', BASKIN ROBBINS",Queens,11435,Donuts,10/7/2019,04H,Y,1,10/7/2019,40.69267163,-73.80877403,412,28,20600,4214444,4100200137,QN61
12222,EL PASO MEXICAN GRILL,Brooklyn,11238,Mexican,5/29/2019,02B,Y,1,5/29/2019,40.67614488,-73.97169946,308,39,15900,3029309,3011690009,BK37
12223,LIBERTY KENNEDY FRIED CHICKEN & PIZZA,Queens,11419,Chicken,7/10/2019,06F,Y,1,7/10/2019,40.68479883,-73.83099663,410,28,9800,4201831,4095160030,QN55
12224,EMPANADAS EL GUSTAZO RESTAURANTE,Queens,11355,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/5/2019,06E,Y,1,8/5/2019,40.75450259,-73.83304612,407,20,84900,4115048,4051010001,QN22
12225,CHIPOTLE MEXICAN GRILL,Brooklyn,11209,Mexican,9/4/2019,08A,N,1,9/4/2019,40.62202359,-74.02707436,310,43,13800,3153178,3060350055,BK31
12226,CAFFE DEI FIORI RISTORANTE,Manhattan,10021,Italian,3/25/2019,04L,Y,1,3/25/2019,40.76941504,-73.96292291,108,4,12800,1042749,1014050053,MN40
12227,FOODBELLA,Manhattan,10022,American,10/31/2019,06A,Y,1,10/31/2019,40.76028387,-73.97550433,105,4,10200,1000000,1012890006,MN17
12228,HARMONY CAFE (LEHMAN COLLEGE)l,Bronx,10468,Café/Coffee/Tea,10/23/2019,10B,N,1,10/23/2019,40.87502169,-73.89285823,207,11,40900,2097309,2032470165,BX28
12229,CARMEN CAFE (Carmen Hall),Bronx,10468,American,10/8/2019,10B,N,1,10/8/2019,40.87502169,-73.89285823,207,11,40900,2097309,2032470165,BX28
12230,UNDERGROUND LOUNGE,Bronx,10468,American,8/14/2019,10F,N,1,8/14/2019,40.87502169,-73.89285823,207,11,40900,2097309,2032470165,BX28
12231,URUBAMBA,Queens,11372,Peruvian,11/19/2019,08C,N,1,11/19/2019,40.75015354,-73.8803194,403,21,27900,4036257,4014740001,QN28
12232,TY BAR/FOUR SEASONS HOTEL,Manhattan,10022,American,4/8/2019,10J,N,1,4/8/2019,40.76205064,-73.97179277,105,4,11202,1077862,1012937501,MN17
12233,ORIENTAL PALACE,Brooklyn,11224,Chinese,10/2/2019,10F,N,1,10/2/2019,40.57525559,-73.99701945,313,47,34200,3321835,3070500100,BK21
12234,LA CASA del MARISC,Bronx,10457,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/8/2019,10D,N,1,10/8/2019,40.84701104,-73.90131799,206,15,23100,2094556,2029000051,BX41
12235,WING HING SEAFOOD RESTAURANT,Brooklyn,11229,Chinese,2/13/2019,06C,Y,1,2/13/2019,40.59848586,-73.95956848,315,48,58200,3197936,3073160041,BK25
12236,CROWN GRILL HALAL CHICKEN,Brooklyn,11216,Chicken,12/6/2019,10F,N,1,12/6/2019,40.68589269,-73.95066691,303,36,25100,3338679,3018130007,BK75
12237,CINCO DE MAYO,Queens,11361,Tex-Mex,9/9/2019,04H,Y,1,9/9/2019,40.76224145,-73.77030548,411,19,146700,4438276,4062980006,QN46
12238,LUIGI'S PIZZA & PASTA,Bronx,10467,Pizza/Italian,2/5/2019,10B,N,1,2/5/2019,40.8713532,-73.86298687,212,12,34000,2055675,2045720025,BX07
12239,FRESH DUMPLINGS,Queens,11354,Chinese,10/9/2019,06C,Y,1,10/9/2019,40.758502,-73.83324181,407,20,87100,4112276,4049730016,QN22
12240,MCDONALD'S,Brooklyn,11231,Hamburgers,1/4/2019,10F,N,1,1/4/2019,40.67359573,-73.99972241,306,39,7700,3008192,3004820009,BK33
12241,MCDONALD'S,Brooklyn,11209,American,9/4/2019,10F,N,1,9/4/2019,40.63397445,-74.02677658,310,43,6800,3146508,3058900043,BK31
12242,BURGER HEAVEN,Manhattan,10017,American,3/6/2019,10F,N,1,3/6/2019,40.75750917,-73.97673984,105,4,9400,1035447,1012840060,MN17
12243,SHU HAN JU AUTHENTIC CHINESE CUISINE,Manhattan,10011,Chinese,11/18/2019,02B,Y,0,11/18/2019,40.7354848,-73.99821385,102,3,7100,1010582,1006070047,MN23
12244,ROCKA ROLLA,Brooklyn,11211,American,1/11/2020,10F,N,1,1/11/2020,40.71404936,-73.95257585,301,34,51300,3062521,3023710014,BK73
12245,EL COYOTE,Queens,11375,Mexican,10/28/2019,06D,Y,1,10/28/2019,40.72082123,-73.84658716,406,29,71100,4077481,4032380033,QN17
12246,NEW ISLAND,Staten Island,10309,Chinese,11/14/2019,06C,Y,1,11/14/2019,40.525678,-74.2011274,503,51,19800,5082831,5066810015,SI01
12247,YUMMY CHINESE RESTAURANT,Brooklyn,11226,Chinese,5/18/2019,06A,Y,1,5/18/2019,40.64116606,-73.95628156,314,45,79000,3119634,3051880011,BK95
12248,TASTE OF ITALY,Queens,11368,Pizza/Italian,7/29/2019,06F,Y,1,7/29/2019,40.74895853,-73.86929929,404,21,37500,4040222,4016050071,QN26
12249,MIYABI SUSHI & ASIAN CUISINE,Manhattan,10012,Japanese,12/19/2019,04L,Y,0,,40.73054424,-74.00038607,102,1,6500,1008745,1005430020,MN23
12250,EMERALD FORTUNE,Brooklyn,11223,Chinese,5/14/2019,06C,Y,1,5/14/2019,40.60498243,-73.97863705,311,47,42600,3176892,3066510072,BK29
12251,CENTRAL CARIBBEAN BAKERY,Bronx,10469,Bakery,12/24/2019,10F,N,1,12/24/2019,40.8712765,-73.84782964,211,12,35000,2056136,2045900040,BX31
12252,MAMAN,Manhattan,10013,French,10/25/2019,04N,Y,1,10/25/2019,40.72018548,-73.99819983,102,1,4500,1007006,1004720022,MN24
12253,BLUE PARROT BAR,Brooklyn,11208,American,5/24/2019,10B,N,0,,40.68251526,-73.87618675,305,37,117601,3092125,3041270061,BK83
12254,CROWN FRIED CHICKEN,Brooklyn,11221,American,12/14/2019,10B,N,1,12/14/2019,40.69532038,-73.9203281,304,34,41900,3075627,3033050045,BK78
12255,COSME,Manhattan,10010,Mexican,10/23/2019,10F,N,1,10/23/2019,40.73956849,-73.98887105,105,2,5600,1080768,1008500025,MN13
12256,HARBOR EATS,Staten Island,10310,American,7/31/2019,10F,N,1,7/31/2019,40.64522454,-74.10467411,501,49,9700,5000000,5000760200,SI22
12257,PAPA JOHN'S,Bronx,10467,Pizza,1/15/2020,04A,Y,1,1/15/2020,40.87169059,-73.87738072,207,11,42500,2017893,2033310041,BX43
12258,7 GRAMS CAFFE,Manhattan,10001,Café/Coffee/Tea,2/22/2019,10B,N,1,2/22/2019,40.74573637,-73.99443501,104,3,9100,1015000,1008010001,MN13
12259,CREOLE PLATE,Queens,11422,Caribbean,12/20/2019,10B,N,1,12/20/2019,40.67483053,-73.73677376,413,31,63200,4282734,4131610029,QN66
12260,FACEBOOK,Manhattan,10003,American,6/26/2019,10I,N,1,6/26/2019,40.73083486,-73.99140182,102,2,5700,1008952,1005540001,MN23
12261,INSOMNIA COOKIES,Manhattan,10014,American,8/8/2019,10I,N,1,8/8/2019,40.73985994,-74.00281834,102,3,7700,1011707,1006290029,MN23
12262,MORELOS DELI & FRUIT,Staten Island,10301,Spanish,9/23/2019,06C,Y,1,9/23/2019,40.63435395,-74.08642993,501,49,7500,5002740,5001150057,SI35
12263,TOTTO RAMEN,Manhattan,10022,Japanese,9/25/2019,04H,Y,1,9/25/2019,40.75659601,-73.96874865,106,4,9800,1038490,1013250132,MN19
12264,FAMILY GARDEN,Brooklyn,11218,Chinese,11/18/2019,10I,N,1,11/18/2019,40.63558112,-73.97777331,312,39,48600,,3,BK41
12265,PROPER WEST,Manhattan,10018,American,10/24/2019,10F,N,1,10/24/2019,40.75228164,-73.98398192,105,4,8400,1016016,1008400078,MN17
12266,GREEN APPLE GOURMET,Manhattan,10019,Delicatessen,1/7/2020,04N,Y,0,,40.76121587,-73.98420718,105,3,12500,1024801,1010210043,MN17
12267,GOOD WOK RESTAURANT,Staten Island,10305,Chinese,10/1/2019,02B,Y,1,10/1/2019,40.6163842,-74.07416723,501,49,800,5042517,5028430001,SI37
12268,PARIS BAGUETTE,Queens,11361,Bakery,9/9/2019,02B,Y,1,9/9/2019,40.7538633,-73.78096777,411,19,145101,4125452,4055550001,QN48
12269,Le Bernardin Privé/Wine Bar,Manhattan,10019,French,5/30/2019,08A,N,1,5/30/2019,40.76131707,-73.98184636,105,4,13100,1023157,1010040020,MN17
12270,LUKE LOBSTER,Brooklyn,11215,Seafood,1/15/2019,06C,Y,1,1/15/2019,40.67529321,-73.98120652,306,39,13300,3020276,3009590002,BK37
12271,INSOMNIA BAR & LOUNGE,Queens,11420,American,11/7/2019,08A,N,1,11/7/2019,40.68255222,-73.81414294,410,28,17000,4249803,4116080040,QN55
12272,BURNSIDE BEER & WINE CAFETERIA,Bronx,10457,Other,6/21/2019,08A,N,1,6/21/2019,40.85101323,-73.90173856,205,15,38100,2007784,2028140078,BX41
12273,ARNOR CREPES & BUBBLE TEA,Brooklyn,11204,Chinese,11/21/2019,06C,Y,1,11/21/2019,40.61089284,-73.98408801,311,44,43000,3173200,3065750044,BK29
12274,B -SIDE,Manhattan,10019,Pizza,2/27/2019,10F,N,1,2/27/2019,40.76385403,-73.98791756,104,3,13300,1025187,1010410061,MN15
12275,LONGHORN STEAKHOUSE,Queens,11373,Steak,11/19/2019,02G,Y,0,,40.73423775,-73.86877621,404,25,68300,4596244,4018750025,QN29
12276,JONGRO BBQ,Manhattan,10001,Korean,1/13/2020,06C,Y,1,1/13/2020,40.74762687,-73.98665374,105,4,7600,1015828,1008330057,MN17
12277,GRK,Manhattan,10017,Greek,11/6/2019,02G,Y,1,11/6/2019,40.75313087,-73.97480315,106,4,9200,1036183,1012997501,MN19
12278,BLOSSOM  ON COLUMBUS,Manhattan,10024,American,3/12/2019,05D,Y,1,3/12/2019,40.78545269,-73.97290949,107,6,16900,1031292,1011980003,MN12
12279,GIVERS AND TAKERS,Brooklyn,11215,American,4/6/2019,10F,N,1,4/6/2019,40.67731681,-73.98614872,306,39,11900,3007497,3004470036,BK37
12280,RUBY KITCHEN CHAN INC,Brooklyn,11217,Chinese,10/18/2019,06C,Y,1,10/18/2019,40.67760541,-73.97298591,306,39,16100,3024351,3010570005,BK64
12281,NEW YORK COMEDY CLUB,Manhattan,10010,American,3/22/2019,06E,Y,1,3/22/2019,40.73878519,-73.98096842,106,2,6600,1019790,1009050024,MN20
12282,EMPIRE GARDEN,Manhattan,10025,Chinese,12/17/2019,10I,N,1,12/17/2019,40.79828455,-73.96354967,107,7,18900,1055509,1018400064,MN12
12283,COCO FRESH TEA & JUICE,Manhattan,10038,"Juice, Smoothies, Fruit Salads",9/16/2019,06D,Y,1,9/16/2019,40.70999655,-74.00910047,101,1,1502,1001103,1000650020,MN25
12284,SUBWAY,Staten Island,10306,American,4/9/2019,10F,N,1,4/9/2019,40.5647759,-74.12789875,503,50,13204,5062774,5046550045,SI25
12285,THE FAMOUS CHICKEN PLACE,Manhattan,10016,Chicken,2/27/2019,09B,N,1,2/27/2019,40.74865443,-73.97601029,106,4,8000,1019146,1008940047,MN20
12286,RAMEN MEIJIN,Manhattan,10028,Japanese,4/3/2019,06D,Y,1,4/3/2019,40.77503574,-73.95379594,108,5,13800,1049866,1015440050,MN32
12287,FLIK,Manhattan,10019,American,3/5/2019,10F,N,1,3/5/2019,40.76500893,-73.98289585,105,3,13700,1089439,1010260055,MN17
12288,JUDY & PUNCH,Queens,11103,American,10/31/2019,10B,N,1,10/31/2019,40.76567867,-73.91882848,401,22,6300,4009086,4006260044,QN70
12289,FLIK INTERNATIONAL,Manhattan,,American,8/23/2019,10B,N,1,8/23/2019,0,0,,,,,1,
12290,MELT SHOP,Manhattan,10019,American,9/28/2019,,,1,,40.76378233,-73.98502603,104,3,13300,1025257,1010437501,MN15
12291,ESME,Brooklyn,11222,American,6/11/2019,10B,N,1,6/11/2019,40.7332197,-73.95477041,301,33,56300,3064149,3025220046,BK76
12292,IBM CAFETERIA,Manhattan,10003,American,1/7/2019,06D,Y,1,1/7/2019,40.73017605,-73.99046019,103,2,4200,1089443,1005540035,MN22
12293,"DUNKIN', BASKIN ROBBINS",Bronx,10458,Donuts,5/1/2019,06E,Y,1,5/1/2019,40.86226791,-73.89390921,207,15,39901,2016776,2032930005,BX05
12294,The Big Whiskey,Brooklyn,11211,American,8/16/2019,04N,Y,1,8/16/2019,40.71101817,-73.95029475,301,34,51300,3256427,3027850013,BK73
12295,CAMPANIA COAL FIRED PIZZA,Staten Island,10312,Italian,7/25/2019,02G,Y,1,7/25/2019,40.5429281,-74.16389029,503,51,15602,5068726,5053230031,SI01
12296,STARBUCKS,Brooklyn,11234,Café/Coffee/Tea,4/19/2019,10F,N,1,4/19/2019,40.60992885,-73.92228162,318,46,69800,3326830,3084700055,BK45
12297,LUPITA'S RESTAURANT,Bronx,10451,Mexican,10/15/2019,08A,N,1,10/15/2019,40.82461563,-73.9135966,203,17,14100,2001504,2023830005,BX35
12298,5 STAR CHEESE STEAK AND PIZZA,Manhattan,10029,Pizza,4/1/2019,10F,N,1,4/1/2019,40.78904158,-73.9405002,111,8,17000,1052761,1016770025,MN33
12299,PACIFIC MOON,Queens,11377,Chinese,8/21/2019,04L,Y,1,8/21/2019,40.75143724,-73.90264034,402,26,25900,4027388,4011980032,QN63
12300,FUSHIMI JAPANESE CUISINE,Staten Island,10306,Japanese,10/16/2019,06F,Y,1,10/16/2019,40.58150035,-74.11176313,502,50,11402,5095447,5035780009,SI45
12301,NUHMA,Queens,11101,American,12/30/2019,10B,N,1,12/30/2019,40.73575143,-73.93425131,402,26,19900,4003677,4003070148,QN31
12302,PEPPA POT JAMAICAN CUISINE,Queens,11434,Caribbean,12/2/2019,04L,Y,0,,40.67286767,-73.77529736,412,28,29400,4266613,4123000018,QN02
12303,DUNKIN',Manhattan,10001,Donuts,2/26/2019,10F,N,1,2/26/2019,40.7462082,-73.99037849,105,3,7600,1015710,1008300003,MN17
12304,MICHELY DELI & FOOD MARKET,Bronx,10453,Spanish,10/21/2019,10A,N,0,10/21/2019,40.85085425,-73.91583602,205,14,24501,2009090,2028790101,BX36
12305,PARK VIEW DINER,Brooklyn,11214,American,1/6/2020,04H,Y,1,1/6/2020,40.58344802,-73.98646707,313,47,34800,3187936,3069510016,BK21
12306,LUCKY EIGHT RESTAURANT,Brooklyn,11220,Chinese,11/14/2019,10B,N,0,11/14/2019,40.63989522,-74.00498683,307,38,10600,3014100,3008100041,BK34
12307,EMPELLON AL PESTOR (16th&17th),Manhattan,10016,Not Listed/Not Applicable,6/6/2019,06D,Y,1,6/6/2019,40.74933806,-73.97693759,106,4,8000,1019481,1008950034,MN20
12308,CLOUD SOCIAL,Manhattan,10001,American,12/4/2019,06F,Y,1,,40.74737428,-73.98605109,105,4,7600,1015824,1008330049,MN17
12309,Lolo's Seafood Shack,Manhattan,10026,Seafood,10/3/2019,04N,Y,1,10/3/2019,40.80453156,-73.9556248,110,9,20102,1059048,1019430128,MN11
12310,BURGER VILLAGE,Brooklyn,11215,Hamburgers,11/4/2019,06C,Y,1,11/4/2019,40.67023142,-73.97879992,306,39,15500,3021143,3009830039,BK37
12311,BAGEL BOB,Brooklyn,11234,Bagels/Pretzels,5/29/2019,06C,Y,1,5/29/2019,40.61834244,-73.93220258,318,46,65000,3219574,3078660058,BK58
12312,GREEN JUICE CAFE,Manhattan,10033,"Juice, Smoothies, Fruit Salads",5/28/2019,06D,Y,1,5/28/2019,40.85191782,-73.93483007,112,10,27100,1063931,1021640044,MN35
12313,NY FAMILY PIZZA,Staten Island,10305,Pizza/Italian,12/4/2019,02B,Y,1,12/4/2019,40.58352423,-74.09553706,502,50,11201,5093269,5036570007,SI36
12314,MBJ DOWNTOWN (BMCC cafeteria),Manhattan,10007,American,12/5/2019,10F,N,1,12/5/2019,40.71683075,-74.01211717,101,1,3900,1066406,1001420050,MN24
12315,URBAN  CRAVE,Queens,11430,American,10/17/2019,04N,Y,0,10/17/2019,40.64831283,-73.7882815,483,28,71600,4000000,4142600001,QN98
12316,AUNTIE ANNE'S PRETZELS,Queens,11385,Bagels/Pretzels,12/17/2019,10F,N,1,12/17/2019,40.70925905,-73.87005554,405,30,63700,4462612,4038100350,QN19
12317,FORREST POINT,Brooklyn,11206,American,4/19/2019,10F,N,1,4/19/2019,40.7033455,-73.93220597,304,34,42500,3071846,3031440016,BK78
12318,WHISPERS BAR AND RESTAURANT,Manhattan,10025,American,8/8/2019,04L,Y,1,8/8/2019,40.79295109,-73.97182297,107,6,17900,1033652,1012410046,MN12
