,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
21096,CANAS RESTAURANT AND BAR,Queens,11435,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/2/2019,02G,Y,0,10/2/2019,40.70221651,-73.81120985,412,24,24000,4534220,4096740048,QN61
21097,KENNEDY FRIED CHICKEN,Bronx,10470,Chicken,1/9/2020,10F,N,1,1/9/2020,40.90387845,-73.85000484,212,11,44200,2071838,2051120027,BX62
21098,AMPLE HILLS CREAMERY,Brooklyn,11231,"Ice Cream, Gelato, Yogurt, Ices",12/13/2018,06C,Y,1,12/13/2018,40.67477502,-74.01483134,306,38,5300,3336681,3006120001,BK33
21099,TEXAS CHICKEN AND BURGERS,Brooklyn,11230,Chicken,10/16/2019,09B,N,1,10/16/2019,40.63322352,-73.96705927,314,40,48200,3128005,3054250085,BK42
21100,WORLD CUP CAFE (LOCATED INSIDE HUNTER COLLEGE. ENTRANCE IS ON 68TH STREET & LEXINGTON AVE),Manhattan,10065,Café/Coffee/Tea,9/6/2019,04A,Y,1,9/6/2019,40.76896567,-73.96536727,108,4,12000,1081419,1014030001,MN40
21101,HEALTHY CHINESE FOOD,Queens,11356,Chinese,1/3/2020,10F,N,1,1/3/2020,40.7814488,-73.84141335,407,19,91900,4099328,4041720007,QN23
21102,TANGRA MASALA,Manhattan,10016,Chinese,6/12/2019,22G,,1,6/12/2019,40.74221643,-73.98275377,106,2,6800,1018172,1008830026,MN21
21103,MISFITS NUTRITION,Queens,11375,"Juice, Smoothies, Fruit Salads",9/23/2019,10F,N,1,9/23/2019,40.71630473,-73.83380232,406,29,76902,4079940,4033420037,QN17
21104,YU KITCHEN,Manhattan,10025,Chinese,11/26/2019,02H,Y,0,11/26/2019,40.79769069,-73.96954554,107,7,18700,1056485,1018720043,MN12
21105,SONS OF THUNDER,Manhattan,10038,Hawaiian,1/2/2020,06D,Y,1,1/2/2020,40.70725199,-74.00583949,101,1,1502,1001126,1000690032,MN25
21106,NERD BE COOL ESPRESSO LAB,Brooklyn,11231,Café/Coffee/Tea,1/29/2019,02G,Y,1,1/29/2019,40.67610445,-73.99891845,306,39,6500,3005640,3003790034,BK33
21107,KISH KASH,Manhattan,10014,Middle Eastern,11/21/2019,04N,Y,1,11/21/2019,40.73127415,-74.00669674,102,3,6900,1010413,1006030065,MN23
