DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
BUFFALO WILD WINGS,less wealthy,10463,American,1/16/19,06A,Y,1,1/16/19,40.8842482,-73.90062962,208,11,28300,2097299,2032700030,BX29
APPLEBEE'S,less wealthy,10461,American,9/13/19,02G,Y,1,9/13/19,40.84978213,-73.8434764,211,13,28400,2047127,2042267502,BX37
SUBWAY,wealthier,10002,Sandwiches/Salads/Mixed Buffet,12/10/19,10F,N,1,12/10/19,40.71431369,-73.98696705,103,1,201,1003735,1002860040,MN28
OH BAGELS CAFE,less wealthy,11354,Delicatessen,3/20/19,06C,Y,1,3/20/19,40.76597333,-73.82772853,407,20,88901,4112105,4049560049,QN22
LENWICH,wealthier,10016,American,5/28/19,06E,Y,1,5/28/19,40.74507647,-73.98278551,105,2,7200,1018347,1008860087,MN20
SUBWAY,less wealthy,11377,Sandwiches/Salads/Mixed Buffet,1/6/20,02B,Y,1,1/6/20,40.74625018,-73.89697103,402,26,26300,4030313,4013000026,QN63
KISMET CATERERS,less wealthy,10462,American,9/28/18,06D,Y,1,9/28/18,40.8335302,-73.8580203,209,18,22200,2028889,2039300053,BX46
MUSE CAFE,less wealthy,11215,Café/Coffee/Tea,5/23/19,06D,Y,1,5/23/19,40.66635681,-73.98532193,306,39,15100,3023057,3010240085,BK37
YAN KEE BEEF JERKY,wealthier,10002,Asian,11/12/19,10F,N,1,11/12/19,40.71475877,-73.99147965,103,1,1600,1003802,1002940025,MN27
DRAGON CITY RESTAURANT,less wealthy,11435,Chinese,11/19/19,06F,Y,1,11/19/19,40.69821752,-73.80635983,412,28,20800,4214490,4100260010,QN61
YAYO'S AT 59 RESTAURANT,less wealthy,11220,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/30/19,10B,N,1,12/30/19,40.64180712,-74.01740395,307,38,7400,3015972,3008550001,BK32
THE FOOD SERMON,less wealthy,11225,Caribbean,3/21/19,10F,N,1,3/21/19,40.66466039,-73.95376095,309,35,32100,3034429,3013050001,BK63
M & R PIZZA,less wealthy,10467,Pizza,7/25/19,10F,N,1,7/25/19,40.88063351,-73.88322257,207,11,42100,2017768,2033270080,BX43
BAREBURGER,less wealthy,11101,Hamburgers,10/23/19,08A,N,1,10/23/19,40.74391013,-73.9536913,402,26,700,4000254,4000440001,QN31
JAMESON'S BAR AND RESTAURANT,wealthier,10022,American,7/25/19,02G,Y,1,7/25/19,40.7558876,-73.96779246,106,4,9800,1038474,1013250029,MN19
DOUBLE DUTCH,wealthier,10031,Café/Coffee/Tea,12/24/19,06D,Y,1,12/24/19,40.82182942,-73.95010688,109,7,22500,1061738,1020710036,MN04
OCAFE NEW SCHOOL,wealthier,10003,Café/Coffee/Tea,9/27/19,10F,N,1,9/27/19,40.73704362,-73.9928444,105,2,5200,1016079,1008430045,MN13
DELICACY,wealthier,10017,Delicatessen,11/29/19,02G,Y,1,11/29/19,40.75449592,-73.97929997,105,4,9400,1035362,1012780063,MN17
PLAYA BETTY'S,wealthier,10023,American,7/24/19,08A,N,1,7/24/19,40.78069751,-73.98011507,107,6,16300,1030841,1011670029,MN12
